id,smarts,entry_id,mechanism_id
13,[O&D1&v2&H0&+0&!R:1]=[C&D2&v4&H0&+0&!R&z2:2].[O&D1&v2&H0&+0&!R:3]~[*:4](~[O&D1&v2&H1&+0&!R:5])~[*:6]~[*:7](~[O&D1&v2&H0&+0&!R:8])(~[O&D1&v2&H1&+0&!R:9])~[O&D1&v2&H1&+0&!R:10].[n&D3&v4&H0&+&R:11](-[C&D3&v4&H1&+0&R&z2:12]1-[O&D2&v2&H0&+0&R:13]-[C@@&D3&v4&H1&+0&R&z1:14](-[C&D2&v4&H2&+0&!R&z1:15])-[C@&D3&v4&H1&+0&R&z1:16](-[O&D1&v2&H1&+0&!R:17])~[H1@@:18]~1~[O&D1&v2&H1&+0&!R:19]):[c&D2&v4&H1&+0&R&z1:20]>>[C&D2&v4&H2&+0&!R&z1:15]-[C@@&D3&v4&H1&+0&R&z1:14]1-[O&D2&v2&H0&+0&R:13]-[C@&D3&v4&H1&+0&R&z2:12](-[O&D2&v2&H0&+0&!R:10]~[*:7](~[O&D1&v2&H0&+0&!R:8])(~[O&D1&v2&H1&+0&!R:9])~[*:6]~[*:4](~[O&D1&v2&H0&+0&!R:3])~[O&D1&v2&H1&+0&!R:5])~[H1@:18](~[O&D1&v2&H1&+0&!R:19])~[C@&D3&v4&H1&+0&R&z1:16]-1-[O&D1&v2&H1&+0&!R:17].[n&D2&v3&H0&+0&R:11]:[c&D3&v4&H0&+0&R&z1:20]-[C&D3&v4&H0&+0&!R&z2:2]-[O&D1&v2&H1&+0&!R:1],[8],[2]
14,([C&D2&v4&H2&+0&!R&z1:1]-[O&D2&v2&H0&+0&!R:2].[O&D2&v2&H0&+0&!R:3]-[P&D4&v5&H0&+0&!R:4]).[O&D0&v2&H2&+0&!R:5].[S&D2&v2&H0&+0&!R:6]>>([O&D1&v2&H1&+0&!R:3].[O&D1&v2&H1&+0&!R:2]).[P&D4&v5&H0&+0&!R:4]-[O&D1&v2&H1&+0&!R:5].[S&D3&v3&H0&+&!R:6]-[C&D2&v4&H2&+0&!R&z1:1],[9],[1]
15,([O&D1&v2&H1&+0&!R:1].[O&D1&v2&H1&+0&!R:2]).[P&D4&v5&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:4].[S&D3&v3&H0&+&!R:5]-[C&D2&v4&H2&+0&!R&z1:6]>>([C&D2&v4&H2&+0&!R&z1:6]-[O&D2&v2&H0&+0&!R:2].[O&D2&v2&H0&+0&!R:1]-[P&D4&v5&H0&+0&!R:3]).[O&D0&v2&H2&+0&!R:4].[S&D2&v2&H0&+0&!R:5],[9],[1]
16,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]-[C@&D3&v4&H1&+0&!R&z1:4](-[O&D1&v2&H1&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:6]-[C&D2&v4&H2&+0&!R&z0:7]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]/[C&D2&v4&H1&+0&!R&z0:4]=[C&D2&v4&H1&+0&!R&z0:6]/[C&D2&v4&H2&+0&!R&z0:7].[O&D0&v2&H2&+0&!R:5],[10],[1]
17,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]/[C&D2&v4&H1&+0&!R&z0:4]=[C&D2&v4&H1&+0&!R&z0:5]/[C&D2&v4&H2&+0&!R&z0:6].[O&D0&v2&H2&+0&!R:7]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]-[C@&D3&v4&H1&+0&!R&z1:4](-[O&D1&v2&H1&+0&!R:7])-[C&D2&v4&H2&+0&!R&z0:5]-[C&D2&v4&H2&+0&!R&z0:6],[10],[1]
18,[C&D3&v4&H0&+0&!R&z3:1](=[O&D1&v2&H0&+0&!R:2])-[O&D2&v2&H0&+0&!R:3].[N&D1&v3&H2&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z3:1](=[O&D1&v2&H0&+0&!R:2])-[N&D2&v3&H1&+0&!R:4].[O&D1&v2&H1&+0&!R:3],"[12, 12]","[2, 1]"
19,[C&D3&v4&H0&+0&!R&z3:1](=[O&D1&v2&H0&+0&!R:2])-[N&D2&v3&H1&+0&!R:3].[O&D1&v2&H1&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z3:1](=[O&D1&v2&H0&+0&!R:2])-[O&D2&v2&H0&+0&!R:4].[N&D1&v3&H2&+0&!R:3],"[12, 12]","[2, 1]"
20,[C&D3&v4&H0&+0&R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[N&D3&v3&H0&+0&R:3].[O&D0&v2&H2&+0&!R:4]>>([C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:4])-[O&D1&v2&H1&+0&!R:2].[N&D2&v3&H1&+0&R:3]),[16],[1]
21,([C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[O&D1&v2&H1&+0&!R:3].[N&D2&v3&H1&+0&R:4])>>[C&D3&v4&H0&+0&R&z2:1](=[O&D1&v2&H0&+0&!R:3])-[N&D3&v3&H0&+0&R:4].[O&D0&v2&H2&+0&!R:2],[16],[1]
22,[*:1](~[O&D1&v2&H1&+0&!R:2])~[O&D1&v2&H1&+0&!R:3].[C&D2&v4&H2&+0&!R&z1:4]-[C@@&D3&v4&H1&+0&R&z1:5]1-[O&D2&v2&H0&+0&R:6]-[C@@&D3&v4&H1&+0&R&z2:7](-[n&D3&v3&H0&+0&R:8])~[H1@:9](~[O&D1&v2&H1&+0&!R:10])~[H1@@:11]~1~[O&D1&v2&H1&+0&!R:12]>>[*:1](~[O&D1&v2&H1&+0&!R:3])~[O&D2&v2&H0&+0&!R:2]-[C&D3&v4&H1&+0&R&z2:7]1-[O&D2&v2&H0&+0&R:6]-[C@&D3&v4&H1&+0&R&z1:5](-[C&D2&v4&H2&+0&!R&z1:4])~[H1@@:11](~[O&D1&v2&H1&+0&!R:12])~[H1@:9]~1~[O&D1&v2&H1&+0&!R:10].[n&D2&v3&H1&+0&R:8],[17],[3]
23,[*:1](~[O&D1&v2&H1&+0&!R:2])~[O&D2&v2&H0&+0&!R:3]-[C&D3&v4&H1&+0&R&z2:4]1-[O&D2&v2&H0&+0&R:5]-[C@&D3&v4&H1&+0&R&z1:6](-[C&D2&v4&H2&+0&!R&z1:7])~[H1@@:8](~[O&D1&v2&H1&+0&!R:9])~[H1@:10]~1~[O&D1&v2&H1&+0&!R:11].[n&D2&v3&H1&+0&R:12]>>[*:1](~[O&D1&v2&H1&+0&!R:3])~[O&D1&v2&H1&+0&!R:2].[C&D2&v4&H2&+0&!R&z1:7]-[C@@&D3&v4&H1&+0&R&z1:6]1-[O&D2&v2&H0&+0&R:5]-[C@@&D3&v4&H1&+0&R&z2:4](-[n&D3&v3&H0&+0&R:12])~[H1@:10](~[O&D1&v2&H1&+0&!R:11])~[H1@@:8]~1~[O&D1&v2&H1&+0&!R:9],[17],[3]
24,[C&D3&v4&H1&+0&R&z2:1]-[O&D2&v2&H0&+0&!R:2].[O&D0&v2&H2&+0&!R:3]>>[C&D3&v4&H1&+0&R&z2:1]-[O&D1&v2&H1&+0&!R:3].[O&D1&v2&H1&+0&!R:2],[19],[2]
25,[C&D3&v4&H1&+0&R&z2:1]-[O&D1&v2&H1&+0&!R:2].[O&D1&v2&H1&+0&!R:3]>>[C&D3&v4&H1&+0&R&z2:1]-[O&D2&v2&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:2],[19],[2]
26,[O&D0&v2&H2&+0&!R:1].[O&D2&v2&H0&+0&!R:2]-[C@@&D3&v4&H1&+0&R&z2:3]1-[O&D2&v2&H0&+0&R:4]-[C@&D3&v4&H1&+0&R&z1:5](-[C&D2&v4&H2&+0&!R&z1:6])-[C@@&D3&v4&H1&+0&R&z1:7](-[O&D1&v2&H1&+0&!R:8])-[C@&D3&v4&H1&+0&R&z1:9](-[O&D1&v2&H1&+0&!R:10])-[C@&D3&v4&H1&+0&R&z1:11]-1-[O&D1&v2&H1&+0&!R:12]>>[C&D2&v4&H2&+0&!R&z1:6]-[C@@&D3&v4&H1&+0&R&z1:5]1-[O&D2&v2&H0&+0&R:4]-[C&D3&v4&H1&+0&R&z2:3](-[O&D1&v2&H1&+0&!R:1])-[C@@&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C@@&D3&v4&H1&+0&R&z1:9](-[O&D1&v2&H1&+0&!R:10])-[C@&D3&v4&H1&+0&R&z1:7]-1-[O&D1&v2&H1&+0&!R:8].[O&D1&v2&H1&+0&!R:2],[19],[1]
27,[C&D2&v4&H2&+0&!R&z1:1]-[C@@&D3&v4&H1&+0&R&z1:2]1-[O&D2&v2&H0&+0&R:3]-[C&D3&v4&H1&+0&R&z2:4](-[O&D1&v2&H1&+0&!R:5])-[C@@&D3&v4&H1&+0&R&z1:6](-[O&D1&v2&H1&+0&!R:7])-[C@@&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:9])-[C@&D3&v4&H1&+0&R&z1:10]-1-[O&D1&v2&H1&+0&!R:11].[O&D1&v2&H1&+0&!R:12]>>[O&D0&v2&H2&+0&!R:5].[O&D2&v2&H0&+0&!R:12]-[C@@&D3&v4&H1&+0&R&z2:4]1-[O&D2&v2&H0&+0&R:3]-[C@&D3&v4&H1&+0&R&z1:2](-[C&D2&v4&H2&+0&!R&z1:1])-[C@@&D3&v4&H1&+0&R&z1:10](-[O&D1&v2&H1&+0&!R:11])-[C@&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:9])-[C@&D3&v4&H1&+0&R&z1:6]-1-[O&D1&v2&H1&+0&!R:7],[19],[1]
28,[C&D3&v4&H0&+0&!R&z2:1](-[O&D1&v2&H1&+0&!R:2])-[C&D2&v4&H2&+0&!R&z0:3]-[C@@&D3&v4&H1&+0&!R&z1:4](-[O&D1&v2&H1&+0&!R:5])~[*:6](~[O&D1&v2&H0&+0&!R:7])~[O&D1&v2&H1&+0&!R:8].[c&D3&v4&H0&+0&R&z0:9]1:[c&D2&v4&H1&+0&R&z0:10]:[c&D2&v4&H1&+0&R&z0:11]:[c&D2&v4&H1&+0&R&z1:12]:[n&D3&v4&H0&+&R:13]:[c&D2&v4&H1&+0&R&z1:14]:1>>[C&D1&v4&H3&+0&!R&z0:3]-[C&D3&v4&H0&+0&!R&z1:4](=[O&D1&v2&H0&+0&!R:5])~[*:6](~[O&D1&v2&H0&+0&!R:7])~[O&D1&v2&H1&+0&!R:8].[C&D3&v4&H0&+0&R&z0:9]1=[C&D2&v4&H1&+0&R&z1:14]-[N&D3&v3&H0&+0&R:13]-[C&D2&v4&H1&+0&R&z1:12]=[C&D2&v4&H1&+0&R&z0:11]-[C&D2&v4&H2&+0&R&z0:10]-1.[O&D1&v2&H0&+0&!R:2]=[C&D2&v4&H0&+0&!R&z2:1],[21],[1]
29,[C&D1&v4&H3&+0&!R&z0:1]-[C&D3&v4&H0&+0&!R&z1:2](=[O&D1&v2&H0&+0&!R:3])~[*:4](~[O&D1&v2&H0&+0&!R:5])~[O&D1&v2&H1&+0&!R:6].[C&D3&v4&H0&+0&R&z0:7]1=[C&D2&v4&H1&+0&R&z1:8]-[N&D3&v3&H0&+0&R:9]-[C&D2&v4&H1&+0&R&z1:10]=[C&D2&v4&H1&+0&R&z0:11]-[C&D2&v4&H2&+0&R&z0:12]-1.[O&D1&v2&H0&+0&!R:13]=[C&D2&v4&H0&+0&!R&z2:14]>>[C&D3&v4&H0&+0&!R&z2:14](-[O&D1&v2&H1&+0&!R:13])-[C&D2&v4&H2&+0&!R&z0:1]-[C@@&D3&v4&H1&+0&!R&z1:2](-[O&D1&v2&H1&+0&!R:3])~[*:4](~[O&D1&v2&H0&+0&!R:5])~[O&D1&v2&H1&+0&!R:6].[c&D3&v4&H0&+0&R&z0:7]1:[c&D2&v4&H1&+0&R&z0:12]:[c&D2&v4&H1&+0&R&z0:11]:[c&D2&v4&H1&+0&R&z1:10]:[n&D3&v4&H0&+&R:9]:[c&D2&v4&H1&+0&R&z1:8]:1,[21],[1]
30,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[S&D2&v2&H0&+0&!R:3].[N&D1&v3&H2&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[N&D2&v3&H1&+0&!R:4].[S&D1&v2&H1&+0&!R:3],[22],[1]
31,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[N&D2&v3&H1&+0&!R:3].[S&D1&v2&H1&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[S&D2&v2&H0&+0&!R:4].[N&D1&v3&H2&+0&!R:3],[22],[1]
32,[C&D1&v4&H3&+0&!R&z1:1]-[S&D3&v3&H0&+&!R:2].[N&D1&v3&H2&+0&!R:3]>>[C&D1&v4&H3&+0&!R&z1:1]-[N&D2&v3&H1&+0&!R:3].[S&D2&v2&H0&+0&!R:2],"[23, 1005]","[1, 1]"
33,[C&D1&v4&H3&+0&!R&z1:1]-[N&D2&v3&H1&+0&!R:2].[S&D2&v2&H0&+0&!R:3]>>[C&D1&v4&H3&+0&!R&z1:1]-[S&D3&v3&H0&+&!R:3].[N&D1&v3&H2&+0&!R:2],"[23, 1005]","[1, 1]"
34,[N&D3&v3&H0&+0&!R:1]-[C&D3&v4&H0&+0&!R&z3:2](-[N&D1&v3&H2&+0&!R:3])=[O&D1&v2&H0&+0&!R:4].[O&D0&v2&H2&+0&!R:5]>>[N&D0&v3&H3&+0&!R:3].[N&D2&v3&H1&+0&!R:1].[O&D1&v2&H0&+0&!R:4]=[C&D2&v4&H0&+0&!R&z2:2]=[O&D1&v2&H0&+0&!R:5],[25],[1]
35,[N&D0&v3&H3&+0&!R:1].[N&D2&v3&H1&+0&!R:2].[O&D1&v2&H0&+0&!R:3]=[C&D2&v4&H0&+0&!R&z2:4]=[O&D1&v2&H0&+0&!R:5]>>[N&D3&v3&H0&+0&!R:2]-[C&D3&v4&H0&+0&!R&z3:4](-[N&D1&v3&H2&+0&!R:1])=[O&D1&v2&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:5],[25],[1]
36,[O&D0&v2&H2&+0&!R:1].[O&D2&v2&H0&+0&!R:2]-[P&D4&v5&H0&+0&!R:3]>>[O&D1&v2&H1&+0&!R:2].[P&D4&v5&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:1],"[27, 27, 47, 160, 472]","[1, 2, 1, 1, 2]"
37,[O&D1&v2&H1&+0&!R:1].[P&D4&v5&H0&+0&!R:2]-[O&D1&v2&H1&+0&!R:3]>>[O&D0&v2&H2&+0&!R:3].[O&D2&v2&H0&+0&!R:1]-[P&D4&v5&H0&+0&!R:2],"[27, 27, 47, 160, 472]","[1, 2, 1, 1, 2]"
38,[O&D0&v2&H2&+0&!R:1].[O&D2&v2&H0&+0&!R:2]-[P&D4&v5&H0&+0&!R:3]~[*:4]~[H1@:5]~[H1@:6]~[O&D1&v2&H1&+0&!R:7]>>[O&D1&v2&H1&+0&!R:2].[P&D4&v5&H0&+0&!R:3](-[O&D1&v2&H1&+0&!R:1])~[*:4]~[H1@:5]~[H1@:6]~[O&D1&v2&H1&+0&!R:7],[28],[1]
39,[O&D1&v2&H1&+0&!R:1].[P&D4&v5&H0&+0&!R:2](-[O&D1&v2&H1&+0&!R:3])~[*:4]~[H1@:5]~[H1@:6]~[O&D1&v2&H1&+0&!R:7]>>[O&D0&v2&H2&+0&!R:3].[O&D2&v2&H0&+0&!R:1]-[P&D4&v5&H0&+0&!R:2]~[*:4]~[H1@:5]~[H1@:6]~[O&D1&v2&H1&+0&!R:7],[28],[1]
40,[N&D1&v3&H2&+0&!R:1]-[C&D3&v4&H0&+0&!R&z2:2]=[O&D1&v2&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[O&D1&v2&H1&+0&!R:4].[N&D0&v3&H3&+0&!R:1],"[29, 301, 455, 455, 726]","[1, 1, 3, 2, 2]"
41,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[O&D1&v2&H1&+0&!R:3].[N&D0&v3&H3&+0&!R:4]>>[N&D1&v3&H2&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:1]=[O&D1&v2&H0&+0&!R:2].[O&D0&v2&H2&+0&!R:3],"[29, 301, 455, 455, 726]","[1, 1, 3, 2, 2]"
