id,smarts,sources,hash
EVODEX.2-Em105,[#6]-[#7](-[#6:1](=[#8:3])-[#6:4])-[#1]>>[#6:4]-[#6:1](=[#8:3])-[#8]-[#1],"EVODEX.2-P1745,EVODEX.2-P1767,EVODEX.2-P1914,EVODEX.2-P1922,EVODEX.2-P1939,EVODEX.2-P2069,EVODEX.2-P2103,EVODEX.2-P2203,EVODEX.2-P2210,EVODEX.2-P223,EVODEX.2-P2272,EVODEX.2-P2361,EVODEX.2-P2367,EVODEX.2-P2481,EVODEX.2-P2485,EVODEX.2-P2725,EVODEX.2-P277,EVODEX.2-P2907,EVODEX.2-P318,EVODEX.2-P3645",91301474198293215645637563557970085297939764445442263132772878002580938613342
EVODEX.2-Em106,[#6:17]-[#7:16](-[#6:1](=[#8:3])-[#6:4])-[#1].[#8:46]=[#15:23](-[#8:2]-[#1])(-[#8:47])-[#8:48]>>[#6:4]-[#6:1](=[#8:3])-[#8:2]-[#1].[#6:17]-[#7:16](-[#1])-[#1].[#8]-[#15](=[#8])(-[#8])-[#8]-[#15:23](=[#8:46])(-[#8:47])-[#8:48],"EVODEX.2-P1215,EVODEX.2-P1221,EVODEX.2-P1655,EVODEX.2-P1938,EVODEX.2-P2145,EVODEX.2-P2147,EVODEX.2-P224,EVODEX.2-P2878,EVODEX.2-P3119,EVODEX.2-P3343,EVODEX.2-P3344,EVODEX.2-P3350,EVODEX.2-P3358,EVODEX.2-P3412,EVODEX.2-P3413,EVODEX.2-P3440,EVODEX.2-P3514,EVODEX.2-P3515,EVODEX.2-P361,EVODEX.2-P808",53875219822509045315323246521631693483748557109243996675570577933324666414511
EVODEX.2-Em113,[#6:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#1:51])-[#1:52].[#8]-[#15](=[#8])(-[#8])-[#8:2]-[#15:10](=[#8:11])(-[#8:12])-[#8:13]>>[#6:3]-[#6:1](-[#8:2]-[#15:10](=[#8:11])(-[#8:12])-[#8:13])(-[#1:51])-[#1:52],"EVODEX.2-P1219,EVODEX.2-P2382,EVODEX.2-P2383,EVODEX.2-P2385,EVODEX.2-P2388,EVODEX.2-P242,EVODEX.2-P2971,EVODEX.2-P2973,EVODEX.2-P3557,EVODEX.2-P3562,EVODEX.2-P3569,EVODEX.2-P3570,EVODEX.2-P3571,EVODEX.2-P3574,EVODEX.2-P3580,EVODEX.2-P3594,EVODEX.2-P3603,EVODEX.2-P3618,EVODEX.2-P3684,EVODEX.2-P830",102350243266051678907171010925095670638463715607694424999940599669230778584383
EVODEX.2-Em165,[#8:3]=[#6:1](-[#8]-[#1])-[#6:4].[#6:13]-[#7:2](-[#1])-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:23]-[#15:24](=[#8:25])(-[#8:26])-[#8:27]>>[#6:13]-[#7:2](-[#6:1](=[#8:3])-[#6:4])-[#1].[#8:25]=[#15:24](-[#8:23]-[#1])(-[#8:26])-[#8:27],"EVODEX.2-P1018,EVODEX.2-P1019,EVODEX.2-P1079,EVODEX.2-P1217,EVODEX.2-P1941,EVODEX.2-P2090,EVODEX.2-P2879,EVODEX.2-P2901,EVODEX.2-P3120,EVODEX.2-P3288,EVODEX.2-P3305,EVODEX.2-P3317,EVODEX.2-P3345,EVODEX.2-P3426,EVODEX.2-P3428,EVODEX.2-P3445,EVODEX.2-P3446,EVODEX.2-P3447,EVODEX.2-P3503,EVODEX.2-P351",13972821944631323154247873126856177297348813082327576533572124451648879377153
EVODEX.2-Em196,[#6:2]-[#16:1]-[#6:30](=[#8:32])-[#6:33].[#8:63]=[#15:40](-[#8:31]-[#1])(-[#8:64])-[#8:65]>>[#6:2]-[#16:1]-[#1].[#6:33]-[#6:30](=[#8:32])-[#8:31]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8]-[#15:40](=[#8:63])(-[#8:64])-[#8:65],"EVODEX.2-P1204,EVODEX.2-P1498,EVODEX.2-P1500,EVODEX.2-P1508,EVODEX.2-P1522,EVODEX.2-P1523,EVODEX.2-P1538,EVODEX.2-P1698,EVODEX.2-P1717,EVODEX.2-P1812,EVODEX.2-P2076,EVODEX.2-P2335,EVODEX.2-P2471,EVODEX.2-P2659,EVODEX.2-P479,EVODEX.2-P493,EVODEX.2-P544,EVODEX.2-P554,EVODEX.2-P577,EVODEX.2-P585",104200596961492903546333569858109306240470666701601219422082674816493293265986
EVODEX.2-Em244,[#8:5]-[#15:4](=[#8:6])(-[#8:2]-[#1])-[#8:7]>>[#8:5]-[#15:4](=[#8:6])(-[#8:7])-[#8:2]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1220,EVODEX.2-P1592,EVODEX.2-P1810,EVODEX.2-P1979,EVODEX.2-P2243,EVODEX.2-P2269,EVODEX.2-P2323,EVODEX.2-P2902,EVODEX.2-P2969,EVODEX.2-P3406,EVODEX.2-P3556,EVODEX.2-P3578,EVODEX.2-P3583,EVODEX.2-P3587,EVODEX.2-P3619,EVODEX.2-P3647,EVODEX.2-P3653,EVODEX.2-P3849,EVODEX.2-P655,EVODEX.2-P657",47111798173541329818157817628102892176603376165498960981086696931344760879815
EVODEX.2-Em284,[#6:3]-[#6:1](-[#8:15]-[#15:17](=[#8:18])(-[#8:19])-[#8:20])(-[#1:49])-[#1:50]>>[#6:3]-[#6:1](-[#8]-[#15](=[#8])(-[#8])-[#8])(-[#1:49])-[#1:50].[#8]-[#15](=[#8])(-[#8])-[#8:15]-[#15:17](=[#8:18])(-[#8:19])-[#8:20],"EVODEX.2-P1918,EVODEX.2-P1919,EVODEX.2-P1920,EVODEX.2-P2386,EVODEX.2-P2393,EVODEX.2-P2970,EVODEX.2-P2991,EVODEX.2-P3530,EVODEX.2-P3558,EVODEX.2-P3567,EVODEX.2-P3572,EVODEX.2-P3573,EVODEX.2-P3576,EVODEX.2-P3595,EVODEX.2-P3599,EVODEX.2-P3621,EVODEX.2-P3691,EVODEX.2-P3735,EVODEX.2-P831,EVODEX.2-P832",19199789434703169108679999730427975183435966881801355063916489840666972121563
EVODEX.2-Em315,[#6:9]-[#6:7](-[#7:2](-[#1])-[#1])(-[#6:10](=[#8:13])-[#8:14])-[#1]>>[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6](=[#8])-[#8])-[#1].[#6:9]-[#6:7](=[#8])-[#6:10](=[#8:13])-[#8:14],"EVODEX.2-P1027,EVODEX.2-P1848,EVODEX.2-P1866,EVODEX.2-P1873,EVODEX.2-P2046,EVODEX.2-P2051,EVODEX.2-P2053,EVODEX.2-P2059,EVODEX.2-P2892,EVODEX.2-P3278,EVODEX.2-P3284,EVODEX.2-P3316,EVODEX.2-P3347,EVODEX.2-P3360,EVODEX.2-P3382,EVODEX.2-P922,EVODEX.2-P923,EVODEX.2-P934,EVODEX.2-P954,EVODEX.2-P958",73309578273726760185239897932305712145450665485026567741693333712623036858555
EVODEX.2-Em322,[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6](=[#8])-[#8])-[#1].[#6:3]-[#6:1](=[#8])-[#6:4](=[#8:5])-[#8:6]>>[#6:3]-[#6:1](-[#7:2](-[#1])-[#1])(-[#6:4](=[#8:5])-[#8:6])-[#1],"EVODEX.2-P1026,EVODEX.2-P1096,EVODEX.2-P1672,EVODEX.2-P1675,EVODEX.2-P1851,EVODEX.2-P1869,EVODEX.2-P1870,EVODEX.2-P1872,EVODEX.2-P2058,EVODEX.2-P2086,EVODEX.2-P2128,EVODEX.2-P2130,EVODEX.2-P2135,EVODEX.2-P2141,EVODEX.2-P2252,EVODEX.2-P3202,EVODEX.2-P3329,EVODEX.2-P3548,EVODEX.2-P3550,EVODEX.2-P931",9946239184397443530023568681129930246065419313283258485017250968418521937278
EVODEX.2-Em328,[#6:9]-[#6:7](-[#7](-[#1])-[#1])(-[#6:10](=[#8:12])-[#8:13])-[#1].[#6]-[#6](=[#8:8])-[#6](=[#8])-[#8]>>[#6:9]-[#6:7](=[#8:8])-[#6:10](=[#8:12])-[#8:13],"EVODEX.2-P1846,EVODEX.2-P1864,EVODEX.2-P1948,EVODEX.2-P2049,EVODEX.2-P2052,EVODEX.2-P2056,EVODEX.2-P2057,EVODEX.2-P2097,EVODEX.2-P2136,EVODEX.2-P3277,EVODEX.2-P3314,EVODEX.2-P3346,EVODEX.2-P3359,EVODEX.2-P3362,EVODEX.2-P3378,EVODEX.2-P953,EVODEX.2-P955,EVODEX.2-P956,EVODEX.2-P960,EVODEX.2-P961",87350096609029442397481738108837329273604914536667410003069784240526393586285
EVODEX.2-Em329,[#6:3]-[#6:1](=[#8:8])-[#6:4](=[#8:5])-[#8:6]>>[#6:3]-[#6:1](-[#7](-[#1])-[#1])(-[#6:4](=[#8:5])-[#8:6])-[#1].[#6]-[#6](=[#8:8])-[#6](=[#8])-[#8],"EVODEX.2-P1847,EVODEX.2-P1849,EVODEX.2-P1850,EVODEX.2-P1865,EVODEX.2-P1871,EVODEX.2-P2129,EVODEX.2-P2131,EVODEX.2-P2137,EVODEX.2-P2139,EVODEX.2-P2140,EVODEX.2-P3203,EVODEX.2-P3315,EVODEX.2-P3330,EVODEX.2-P3334,EVODEX.2-P3549,EVODEX.2-P3551,EVODEX.2-P3552,EVODEX.2-P3553,EVODEX.2-P3554,EVODEX.2-P957",46594870736397084880168249658477386483395567540777095997671101389405301261409
EVODEX.2-Em43,[#6:3]-[#6:1](-[#8:53]-[#1])(-[#6:4])-[#1:71]>>[#6:3]-[#6:1](-[#8]-[#6])(-[#6:4])-[#1:71].[#8:53](-[#1])-[#1],"EVODEX.2-P108,EVODEX.2-P118,EVODEX.2-P1792,EVODEX.2-P2650,EVODEX.2-P279,EVODEX.2-P301,EVODEX.2-P307,EVODEX.2-P67,EVODEX.2-P685,EVODEX.2-P78,EVODEX.2-P85,EVODEX.2-P90,EVODEX.2-P93,EVODEX.2-P95,EVODEX.2-P99",39230841231923637151670398160447680807981713742463674838033003575355578065519
EVODEX.2-Em49,[#6:3]-[#6:1](-[#6:4])(-[#8]-[#6])-[#1:105].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#6:4])-[#1:105],"EVODEX.2-P100,EVODEX.2-P101,EVODEX.2-P112,EVODEX.2-P120,EVODEX.2-P1787,EVODEX.2-P2651,EVODEX.2-P303,EVODEX.2-P306,EVODEX.2-P308,EVODEX.2-P686,EVODEX.2-P74,EVODEX.2-P77,EVODEX.2-P92,EVODEX.2-P96,EVODEX.2-P97",57645005133008282522413142355225438952596157045056928917896271924777806155125
EVODEX.2-Em130,[#8:6](-[#1])-[#1].[#8:8]-[#15:7](=[#8:9])(-[#8:10])-[#8]-[#15](=[#8])(-[#8])-[#8]>>[#8:8]-[#15:7](=[#8:9])(-[#8:6]-[#1])-[#8:10],"EVODEX.2-P1453,EVODEX.2-P1811,EVODEX.2-P1980,EVODEX.2-P2080,EVODEX.2-P2398,EVODEX.2-P2554,EVODEX.2-P267,EVODEX.2-P2957,EVODEX.2-P3579,EVODEX.2-P3694,EVODEX.2-P3766,EVODEX.2-P3767,EVODEX.2-P3768,EVODEX.2-P662,EVODEX.2-P671",40582319891511976453419770081841797508544653743224135804679258086760980558543
EVODEX.2-Em161,[#6:2]-[#16:1]-[#6:30](=[#8:32])-[#6:33]>>[#6:2]-[#16:1]-[#1].[#6]-[#7](-[#6:30](=[#8:32])-[#6:33])-[#1],"EVODEX.2-P2411,EVODEX.2-P2439,EVODEX.2-P2457,EVODEX.2-P2459,EVODEX.2-P2534,EVODEX.2-P2539,EVODEX.2-P2548,EVODEX.2-P2550,EVODEX.2-P2580,EVODEX.2-P2630,EVODEX.2-P341,EVODEX.2-P343,EVODEX.2-P344,EVODEX.2-P345,EVODEX.2-P348",5169654836708686748494403513901515699047596529133706268513333064272036094580
EVODEX.2-Em167,[#6:3]-[#16:2]-[#1].[#6]-[#7](-[#6:1](=[#8:50])-[#6:51])-[#1]>>[#6:51]-[#6:1](=[#8:50])-[#16:2]-[#6:3],"EVODEX.2-P1247,EVODEX.2-P1248,EVODEX.2-P1311,EVODEX.2-P1315,EVODEX.2-P1327,EVODEX.2-P1329,EVODEX.2-P1343,EVODEX.2-P1346,EVODEX.2-P1356,EVODEX.2-P1365,EVODEX.2-P357,EVODEX.2-P358,EVODEX.2-P359,EVODEX.2-P360,EVODEX.2-P366",47618018375332571745084810220913017964686473211679011211755574117334199740059
EVODEX.2-Em256,[#6:4]-[#6:1](-[#6:3])(-[#8]-[#1])-[#1:74].[#6:25]-[#6:24](=[#8:26])-[#8:2]-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:31]-[#15:32](=[#8:33])(-[#8:34])-[#8:35]>>[#6:4]-[#6:1](-[#6:3])(-[#8:2]-[#6:24](=[#8:26])-[#6:25])-[#1:74].[#8:33]=[#15:32](-[#8:31]-[#1])(-[#8:34])-[#8:35],"EVODEX.2-P705,EVODEX.2-P709,EVODEX.2-P712,EVODEX.2-P715,EVODEX.2-P720,EVODEX.2-P721,EVODEX.2-P724,EVODEX.2-P727,EVODEX.2-P733,EVODEX.2-P734,EVODEX.2-P736,EVODEX.2-P738,EVODEX.2-P743,EVODEX.2-P746,EVODEX.2-P747",2832991194752024887959692520074682052578783875220806547925023530548957985293
