id,smarts,ni_ids
0,[#6;$([#6&R]1-[#6&R](-&@[#6&R]2:&@[#6&R](-&@[#8&R]-&@[#6&R]-1-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@1):&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@2)=&!@[#8&!R]):1].[#6;$([#6&!R](-&!@[#6&!R]=&!@[#8&!R])(-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])=&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]=&!@[#8&!R])(-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])=&!@[#8&!R]):2]-[#6;$([#6&!R](-[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])=&!@[#8&!R])=[#8&!R]);!$([#6&!R](-[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])=&!@[#8&!R])=[#8&!R]):3]-[#8:4].[#8:5]=[#8:6]>>[#6:1]-[#8:5].[#6:2]-[#8:6].[#6:3]=[#8:4],['rule0045_08']
1,[#6;$([#6&!R](=&!@[#8&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#6&R](:&@[#6&R]:&@1)-&!@[#8&!R])-&!@[#8&!R]):1]-[#8:2].[#6:3]1=[#6:4]-[#7:5]-[#6:6]=[#6:7]-[#6:8]-1>>[#6:1].[#6:3]1:[#6:8]:[#6:7]:[#6:6]:[#7+:5]:[#6:4]:1.[#8:2],['rule0025_06']
2,[#6;$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]);!$([#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#16&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R])(-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#7&R]:&@[#6&R]2:&@[#6&R]:&@1:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@2-&!@[#7&!R])-&!@[#8&!R])=&!@[#8&!R])=&!@[#8&!R])=&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#16&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R](-&!@[#6&!R])(-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#7&!R]-&!@[#6&!R])-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R](-&!@[#16&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#7&!R]-&!@[#6&!R])-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R])(-&!@[#6&!R])-&!@[#6&!R])-&!@[#8&!R])=&!@[#8&!R])=&!@[#8&!R])=&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])=&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@1);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R]=&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#7&!R](-&!@[#6&!R])(-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#16&!R](=&!@[#8&!R])(=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@1);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]=&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R](-&!@[#8&!R]-&!@[#6&!R])=&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R])-&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]=&!@[#8&!R]);!$([#6&!R]-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&R]);!$([#6&!R]-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2],['rule0002_150']
3,[#6;$([#6&!R](-&!@[#8&!R]-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#6&R]:&@[#6&R]:&@1)-&!@[#7&!R](=&!@[#8&!R])-&!@[#8&!R])(-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@1)=&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&!R](-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@[#6&R]:&@1)=&!@[#8&!R])-[#6&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#6&R]:&@[#6&R]:&@1)-&!@[#7&!R](=&!@[#8&!R])-&!@[#8&!R]):2].[#8:3]>>[#6:1]-[#8:3].[#8:2],['rule0007_030']
4,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6;$([#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R]):7]=[#8:8].[#7;$([#7&!R]-[#6&!R]-&!@[#6&!R]):9]>>[#6:7]-[#7:9].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#8:8],['rule0156_1']
5,([#6;$([#6&!R](-&!@[#6&R]1(-&@[#6&R]-&@[#6&R](-&@[#6&R](-&@[#8&R]-&@1)-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1].[#6;$([#6&R]1(-[#6&!R]-&!@[#8&!R])(-[#6&R]-&@[#6&R](-&@[#6&R](-&@[#8&R]-1)-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-[#8&!R]):2]-[#6;$([#6&R]1-[#6&R](-&!@[#6&!R]-&!@[#8&!R])(-&@[#8&R]-&@[#6&R](-&@[#6&R]-1-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3])>>([#6:2].[#6:1]-[#6:3]),['rule0028_12']
6,[#6:1]-[#16+:2].[#7;$([#7&!R]-[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R](-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R](-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R]=&!@[#8&!R])=&!@[#8&!R])=&!@[#8&!R])-&!@[#6&!R])=&!@[#8&!R])-&!@[#7&!R]-&!@[#6&!R]=&!@[#8&!R]):3]>>[#16+0:2].[#6:1]-[#7:3],['rule0034_13']
7,[#6;$([#6&!R](-&!@[#6&R]-&@[#6&R]-&@[#6&R]-&@[#6&R])(-&!@[#6&!R])-&!@[#6&!R]):1]-[#6;$([#6&R](-[#6&!R](-&!@[#6&!R])-&!@[#6&!R])-[#6&R]-&@[#6&R]-&@[#6&R]):2]-[#6:3]=[#6:4]-[#6;$([#6&R]-[#6&R]-&@[#6&R]-&@[#6&R]-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R]):5]=[#6:6].[#8:7]>>([#6:1]=[#6:2].[#6:6]-[#6:5]=[#6:4]-[#6:3]-[#8:7]),['rule0258_1']
