epoch,step,train_loss,val_loss
0,6,,0.5677904486656189
1,13,,0.4313804507255554
2,20,,0.3847498297691345
3,27,,0.3646220564842224
4,34,,0.34260618686676025
5,41,,0.32620880007743835
6,48,,0.3108018934726715
7,49,0.2850601375102997,
7,55,,0.2991486191749573
8,62,,0.2913706302642822
9,69,,0.28417935967445374
