epoch,step,train_loss,val_loss
0,6,,0.5191134214401245
1,13,,0.4363252520561218
2,20,,0.38156214356422424
3,27,,0.36153700947761536
4,34,,0.34119942784309387
5,41,,0.32301273941993713
6,48,,0.3074478507041931
7,49,0.2965766489505768,
7,55,,0.29465118050575256
8,62,,0.28509998321533203
9,69,,0.2772374749183655
