scl_lb,mech_id,max_coverage,mean_extra_atoms,std_extra_atoms
5,0,1.0,4.72,1.5104966070799366
5,1,0.6666666666666666,0.0,0.0
5,2,0.75,0.0,0.0
5,3,0.5,0.0,0.0
5,4,0.6,0.0,0.0
5,5,0.75,0.0,0.0
5,6,0.4,0.0,0.0
5,7,0.4,0.0,0.0
5,8,0.4,0.0,0.0
5,9,0.4,0.0,0.0
5,10,1.0,3.7142857142857144,1.5779087167410373
5,11,0.3333333333333333,0.0,0.0
5,12,1.0,3.7142857142857144,1.5779087167410373
5,13,1.0,3.7142857142857144,1.5779087167410373
5,14,1.0,3.7142857142857144,1.5779087167410373
5,15,0.75,0.0,0.0
5,16,1.0,4.72,1.5104966070799366
5,17,0.5,0.0,0.0
5,18,1.0,5.0,0.0
5,19,1.0,5.0,0.0
5,20,1.0,4.72,1.5104966070799366
5,21,0.8,0.0,0.0
5,22,0.7142857142857143,0.0,0.0
5,23,0.8333333333333334,0.0,0.0
5,24,0.4,0.0,0.0
5,25,0.42857142857142855,0.0,0.0
5,26,0.8333333333333334,0.0,0.0
5,27,0.3333333333333333,0.0,0.0
5,28,0.8,0.0,0.0
7,0,1.0,4.0476190476190474,0.9988655696858585
7,1,0.6666666666666666,0.0,0.0
7,2,0.5,0.0,0.0
7,3,0.25,0.0,0.0
7,4,0.6,0.0,0.0
7,5,0.75,0.0,0.0
7,6,0.4,0.0,0.0
7,7,0.4,0.0,0.0
7,8,0.4,0.0,0.0
7,9,0.4,0.0,0.0
7,10,1.0,3.5,1.2955969390869324
7,11,0.3333333333333333,0.0,0.0
7,12,1.0,3.5,1.2955969390869324
7,13,1.0,3.5,1.2955969390869324
7,14,1.0,3.5,1.2955969390869324
7,15,0.75,0.0,0.0
7,16,1.0,4.0476190476190474,0.9988655696858585
7,17,0.5,0.0,0.0
7,18,1.0,3.0,0.0
7,19,1.0,3.0,0.0
7,20,1.0,4.0476190476190474,0.9988655696858585
7,21,0.8,0.0,0.0
7,22,0.5714285714285714,0.0,0.0
7,23,0.8333333333333334,0.0,0.0
7,24,0.4,0.0,0.0
7,25,0.42857142857142855,0.0,0.0
7,26,0.8333333333333334,0.0,0.0
7,27,0.3333333333333333,0.0,0.0
7,28,0.6,0.0,0.0
10,0,1.0,3.5714285714285716,0.9035079029052513
10,1,0.6666666666666666,0.0,0.0
10,2,0.5,0.0,0.0
10,3,0.25,0.0,0.0
10,4,0.6,0.0,0.0
10,5,0.75,0.0,0.0
10,6,0.4,0.0,0.0
10,7,0.4,0.0,0.0
10,8,0.4,0.0,0.0
10,9,0.4,0.0,0.0
10,10,1.0,3.2222222222222223,1.314684396244359
10,11,0.3333333333333333,0.0,0.0
10,12,1.0,3.2222222222222223,1.314684396244359
10,13,1.0,3.2222222222222223,1.314684396244359
10,14,1.0,3.2222222222222223,1.314684396244359
10,15,0.75,0.0,0.0
10,16,1.0,3.5714285714285716,0.9035079029052513
10,17,0.5,0.0,0.0
10,18,0.8333333333333334,0.0,0.0
10,19,0.8333333333333334,0.0,0.0
10,20,1.0,3.5714285714285716,0.9035079029052513
10,21,0.8,0.0,0.0
10,22,0.42857142857142855,0.0,0.0
10,23,0.6666666666666666,0.0,0.0
10,24,0.4,0.0,0.0
10,25,0.42857142857142855,0.0,0.0
10,26,0.6666666666666666,0.0,0.0
10,27,0.3333333333333333,0.0,0.0
10,28,0.6,0.0,0.0
12,0,1.0,3.25,0.924211375534118
12,1,0.6666666666666666,0.0,0.0
12,2,0.5,0.0,0.0
12,3,0.25,0.0,0.0
12,4,0.6,0.0,0.0
12,5,0.75,0.0,0.0
12,6,0.4,0.0,0.0
12,7,0.4,0.0,0.0
12,8,0.4,0.0,0.0
12,9,0.4,0.0,0.0
12,10,1.0,3.111111111111111,1.1967032904743342
12,11,0.3333333333333333,0.0,0.0
12,12,1.0,3.111111111111111,1.1967032904743342
12,13,1.0,3.111111111111111,1.1967032904743342
12,14,1.0,3.111111111111111,1.1967032904743342
12,15,0.75,0.0,0.0
12,16,1.0,3.25,0.924211375534118
12,17,0.5,0.0,0.0
12,18,0.8333333333333334,0.0,0.0
12,19,0.8333333333333334,0.0,0.0
12,20,1.0,3.25,0.924211375534118
12,21,0.8,0.0,0.0
12,22,0.42857142857142855,0.0,0.0
12,23,0.5,0.0,0.0
12,24,0.4,0.0,0.0
12,25,0.2857142857142857,0.0,0.0
12,26,0.5,0.0,0.0
12,27,0.3333333333333333,0.0,0.0
12,28,0.6,0.0,0.0
15,0,1.0,2.2,0.7483314773547882
15,1,0.6666666666666666,0.0,0.0
15,2,0.5,0.0,0.0
15,3,0.0,0.0,0.0
15,4,0.4,0.0,0.0
15,5,0.5,0.0,0.0
15,6,0.2,0.0,0.0
15,7,0.2,0.0,0.0
15,8,0.2,0.0,0.0
15,9,0.2,0.0,0.0
15,10,0.5,0.0,0.0
15,11,0.3333333333333333,0.0,0.0
15,12,0.5,0.0,0.0
15,13,0.5,0.0,0.0
15,14,0.5,0.0,0.0
15,15,0.25,0.0,0.0
15,16,1.0,2.2,0.7483314773547882
15,17,0.25,0.0,0.0
15,18,0.6666666666666666,0.0,0.0
15,19,0.6666666666666666,0.0,0.0
15,20,1.0,2.2,0.7483314773547882
15,21,0.6,0.0,0.0
15,22,0.2857142857142857,0.0,0.0
15,23,0.3333333333333333,0.0,0.0
15,24,0.4,0.0,0.0
15,25,0.2857142857142857,0.0,0.0
15,26,0.3333333333333333,0.0,0.0
15,27,0.3333333333333333,0.0,0.0
15,28,0.4,0.0,0.0
