epoch,step,train_loss,val_loss
0,6,,0.6582867503166199
1,13,,0.5883591771125793
2,20,,0.4845970869064331
3,27,,0.4110861122608185
4,34,,0.39124858379364014
5,41,,0.38868796825408936
6,48,,0.38446372747421265
7,49,0.40141385793685913,
7,55,,0.38085851073265076
8,62,,0.37852492928504944
9,69,,0.3769301772117615
