epoch,step,train_loss,val_loss
0,6,,0.5850914716720581
1,13,,0.4040159285068512
2,20,,0.3846434950828552
3,27,,0.37646448612213135
4,34,,0.35412877798080444
5,41,,0.3405577540397644
6,48,,0.32899418473243713
7,49,0.34416887164115906,
7,55,,0.319852352142334
8,62,,0.3108305335044861
9,69,,0.3039151728153229
