template,rxn_id
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H2&0*&!R&z0:4]~[*:5](:[c&D2&v4&H1&0*&R&z1:6]):[c&D3&v4&H0&0*&R&z0:7](:[*:8]:[c&D2&v4&H1&0*&R&z0:9]):[c&D2&v4&H1&0*&R&z0:10]>>[C&D1&v4&H3&0*&!R&z0:4]~[*:5](:[c&D2&v4&H1&0*&R&z1:6]):[c&D3&v4&H0&0*&R&z0:7](:[*:8]:[c&D2&v4&H1&0*&R&z0:9]):[c&D2&v4&H1&0*&R&z0:10].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],['19342']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3]~[*:4]~[*:5]~[O&D1&v2&H0&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7](=[O&D1&v2&H0&0*&!R:8])-[O&D1&v2&H1&0*&!R:9]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]~[*:4]~[*:5]~[O&D1&v2&H0&0*&!R:6].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:7]=[O&D1&v2&H0&0*&!R:8],['19445']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[c&D3&v4&H0&0*&R&z0:4]1:[*:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:7]:[c&D3&v4&H0&0*&R&z1:8](-[O&D1&v2&H1&0*&!R:9]):[*:10]:1~[O&D1&v2&H1&0*&!R:11]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H1&0*&!R:11]~[*:10]1:[c&D2&v4&H1&0*&R&z0:4]:[*:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:7]:[c&D3&v4&H0&0*&R&z1:8]:1-[O&D1&v2&H1&0*&!R:9],['2556']
[c&D3&v4&H0&0*&R&z1:1](-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4]):[*:5]:[c&D2&v4&H1&0*&R&z2:6]>>[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[c&D2&v4&H1&0*&R&z1:1]:[*:5]:[c&D2&v4&H1&0*&R&z2:6],['2589']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[c&D3&v4&H0&0*&R&z0:4]1:[*:5](~[O&D1&v2&H1&0*&!R:6]):[*:7]:[c&D2&v4&H1&0*&R&z0:8]:[c&D2&v4&H1&0*&R&z0:9]:[*:10]:1>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H1&0*&!R:6]~[*:5]1:[*:7]:[c&D2&v4&H1&0*&R&z0:8]:[c&D2&v4&H1&0*&R&z0:9]:[*:10]:[c&D2&v4&H1&0*&R&z0:4]:1,['2688']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]~[*:5]~[O&D1&v2&H0&0*&!R:6]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:6]~[*:5]~[C&D2&v4&H2&0*&!R&z1:4],['2771']
[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[*:1](~[C&D1&v4&H3&0*&!R&z0:3])~[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],['3024']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4]1~[*:5]~[*:6]~[*:7](~[O&D1&v2&H1&0*&!R:8])~[*:9](~[O&D1&v2&H1&0*&!R:10])~[*:11]~1~[O&D1&v2&H1&0*&!R:12]>>[*:6]1~[*:5]~[C&D2&v4&H2&0*&R&z1:4]~[*:11](~[O&D1&v2&H1&0*&!R:12])~[*:9](~[O&D1&v2&H1&0*&!R:10])~[*:7]~1~[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],['4235']
[*:1]1(~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4](:[c&D2&v4&H1&0*&R&z0:5]):[c&D3&v4&H0&0*&R&z0:6](:[*:7]~[O&D1&v2&H1&0*&!R:8])~[*:9](~[O&D1&v2&H0&0*&!R:10])~[C&D3&v4&H1&0*&R&z0:11]~1-[C&D3&v4&H0&0*&!R&z2:12](=[O&D1&v2&H0&0*&!R:13])-[O&D1&v2&H1&0*&!R:14]>>[*:1]1(~[O&D1&v2&H1&0*&!R:2])~[C&D2&v4&H2&0*&R&z0:11]~[*:9](~[O&D1&v2&H0&0*&!R:10])~[c&D3&v4&H0&0*&R&z0:6](:[*:4](:[c&D2&v4&H1&0*&R&z0:5])~[*:3]~1):[*:7]~[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H0&0*&!R:14]=[C&D2&v4&H0&0*&!R&z2:12]=[O&D1&v2&H0&0*&!R:13],['4590']
[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D2&v4&H2&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[C&D1&v4&H3&0*&!R&z0:3]~[*:1]~[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],['4992']
[*:1](~[*:2]~[*:3](~[O&D1&v2&H0&0*&!R:4])~[O&D1&v2&H1&0*&!R:5])~[C&D3&v4&H1&0*&!R&z1:6](-[N&D1&v3&H2&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[*:1](~[C&D2&v4&H2&0*&!R&z1:6]-[N&D1&v3&H2&0*&!R:7])~[*:2]~[*:3](~[O&D1&v2&H0&0*&!R:4])~[O&D1&v2&H1&0*&!R:5].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],['5000']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z0:6]-[c&D3&v4&H0&0*&R&z0:7](:[c&D2&v4&H1&0*&R&z1:8]):[*:9]:[c&D2&v4&H1&0*&R&z0:10]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H1&0*&!R&z1:4]-[C&D2&v4&H2&0*&!R&z0:6]-[c&D3&v4&H0&0*&R&z0:7](:[c&D2&v4&H1&0*&R&z1:8]):[*:9]:[c&D2&v4&H1&0*&R&z0:10],['5026']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6],['5043']
[C&D3&v4&H1&0*&!R&z0:1](-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4])~[*:5]~[O&D1&v2&H0&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z0:1]~[*:5]~[O&D1&v2&H0&0*&!R:6].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3],['5140']
[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5]>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4],"['5401', '9452']"
[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z0:2](-[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5])~[*:6]~[O&D1&v2&H0&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z0:2]~[*:6]~[O&D1&v2&H0&0*&!R:7].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4],['55']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H1&0*&!R&z0:4]~[*:5]~[c&D3&v4&H0&0*&R&z0:6](:[c&D2&v4&H1&0*&R&z0:7]):[*:8]:[c&D2&v4&H1&0*&R&z0:9]>>[C&D1&v4&H2&0*&!R&z0:4]~[*:5]~[c&D3&v4&H0&0*&R&z0:6](:[c&D2&v4&H1&0*&R&z0:7]):[*:8]:[c&D2&v4&H1&0*&R&z0:9].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],"['5735', '7383']"
[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[C&D3&v4&H1&0*&!R&z1:4](-[C&D2&v4&H2&0*&!R&z1:5])-[C&D3&v4&H0&0*&!R&z2:6](=[O&D1&v2&H0&0*&!R:7])-[O&D1&v2&H1&0*&!R:8]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[C&D2&v4&H2&0*&!R&z1:4]-[C&D2&v4&H2&0*&!R&z1:5].[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H0&0*&!R&z2:6]=[O&D1&v2&H0&0*&!R:7],['5907']
[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D4&v4&H0&0*&!R&z1:3]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D3&v4&H1&0*&!R&z1:3].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],['6221']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H1&0*&!R&z0:4]~[*:5](~[C&D2&v4&H2&0*&!R&z0:6]~[*:7](~[O&D1&v2&H0&0*&!R:8])~[O&D1&v2&H1&0*&!R:9])~[*:10](~[O&D1&v2&H0&0*&!R:11])~[O&D1&v2&H1&0*&!R:12]>>[C&D1&v4&H2&0*&!R&z0:4]~[*:5](~[C&D2&v4&H2&0*&!R&z0:6]~[*:7](~[O&D1&v2&H0&0*&!R:8])~[O&D1&v2&H1&0*&!R:9])~[*:10](~[O&D1&v2&H0&0*&!R:11])~[O&D1&v2&H1&0*&!R:12].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],['6613']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[O&D1&v2&H1&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[O&D1&v2&H1&0*&!R:7].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],['6882']
[c&D2&v4&H1&0*&R&z0:1]:[c&D3&v4&H0&0*&R&z0:2](~[*:3]~[C&D2&v4&H1&0*&!R&z0:4]-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]):[*:8]:[c&D2&v4&H1&0*&R&z0:9]>>[C&D1&v4&H2&0*&!R&z0:4]~[*:3]~[c&D3&v4&H0&0*&R&z0:2](:[*:8]:[c&D2&v4&H1&0*&R&z0:9]):[c&D2&v4&H1&0*&R&z0:1].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6],['6894']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[*:7](~[O&D1&v2&H1&0*&!R:8])~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:6]~[*:5](~[C&D2&v4&H2&0*&!R&z1:4])~[*:7](~[O&D1&v2&H1&0*&!R:8])~[*:9]~[O&D1&v2&H1&0*&!R:10],['7354']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z1:4](:[c&D2&v4&H1&0*&R&z1:5]):[*:6]:[c&D2&v4&H1&0*&R&z2:7])-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z1:4](:[c&D2&v4&H1&0*&R&z1:5]):[*:6]:[c&D2&v4&H1&0*&R&z2:7].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],['7561']
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6])-[C&D3&v4&H0&0*&!R&z2:7](=[O&D1&v2&H0&0*&!R:8])-[O&D1&v2&H1&0*&!R:9]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]-[c&D3&v4&H0&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:7]=[O&D1&v2&H0&0*&!R:8],"['7914', '8894', '9371']"
